prompt1,prompt2,label
a yellow flower dancing happily in the city,a brown dog climbing the mountain near the river,0
a red bicycle swimming in the lake on the beach,a white house walking slowly in the garden in the rain,0
a silver laptop cooking dinner near the river in the fog,a yellow flower dancing happily beside the road,0
a blue car playing music by the lake,a blue car playing music by the lake,1
a wooden chair cooking dinner on the mountain,"positioned on the mountain, a wooden chair cooking dinner",1
a white house walking slowly in the garden during sunset,a blue car dancing happily in the city,0
a glass window walking slowly near the river,a red bicycle dancing happily near the river during storm,0
a brown dog dancing happily under a tree,a brown dog dancing happily below a tree,1
a wooden chair climbing the mountain at the park during twilight,a wooden chair walking slowly beside the road,0
a red bicycle playing music on the beach,"positioned on the beach, a red bicycle playing music",1
a silver laptop running in the park beside the road,a green tree flying in the sky in the forest,0
a white house reading a book in the city,a glass window walking slowly in the forest during storm,0
a green tree climbing the mountain by the lake,a wooden chair sleeping on the couch in the city,0
a glass window running in the park under a tree,a glass window running in the park underneath a tree,1
a blue car flying in the sky under a tree,a green tree walking slowly near the river at dawn,0
a glass window sleeping on the couch under a tree in moonlight,a red bicycle running in the park in the garden,0
a red bicycle swimming in the lake in the city in the fog,a brown dog running in the park near the river,0
a wooden chair cooking dinner in the forest,a wooden chair cooking dinner in the forest,1
a red bicycle swimming in the lake near the river,a blue car playing music in the garden,0
a green tree sleeping on the couch on the mountain,a yellow flower cooking dinner under a tree during sunset,0
a wooden chair playing music on the beach,a yellow flower dancing happily in the city,0
a black cat cooking dinner on the mountain,a black kitty cooking dinner on the mountain,1
a blue car sleeping on the couch in the forest,a black cat dancing happily in the city,0
a silver laptop swimming in the lake in the city,a silver laptop swimming in the lake in the city,1
a green tree flying in the sky in the city,a white house sleeping on the couch by the lake,0
a wooden chair reading a book on the beach,a wooden chair reading a book over the beach,1
a red bicycle reading a book under a tree,"beneath a tree, a red bicycle reading a book",1
a green tree reading a book by the lake in moonlight,a red bicycle swimming in the lake in the garden under clear sky,0
a glass window walking slowly at the park,a glass window pacing slowly at the park,1
a red bicycle swimming in the lake at the park in the snow,a brown dog running in the park at the park,0
a black cat dancing happily by the lake,a black cat dancing happily by the lake,1
beautiful sunset over the ocean,hermoso atardecer sobre el océano,1
a red bicycle swimming in the lake in the garden,a blue car walking slowly on the beach,0
a green tree sleeping on the couch beside the road,"positioned on the couch beside the road, a green tree sleeping",1
a yellow flower swimming in the lake beside the road,a yellow flower swimming in the lake beside the road,1
a wooden chair cooking dinner in the garden,a brown dog reading a book in the forest,0
a silver laptop flying in the sky under a tree,a red bicycle playing music by the lake on a sunny day,0
a glass window walking slowly at the park,a glass window ambling slowly at the park,1
a silver laptop playing music near the river,a green tree running in the park by the lake,0
a brown dog running in the park on the mountain under clear sky,a brown dog jogging in the park upon the mountain underneath clear sky,1
a yellow flower playing music in the forest,a green tree flying in the sky near the river,0
a green tree sleeping on the couch by the lake,a yellow flower dancing happily in the city,0
a white house flying in the sky in the city in the fog,a white home flying in the sky in the city in the fog,1
a silver laptop reading a book at the park,a green tree swimming in the lake at the park,0
a wooden chair running in the park on the mountain,"positioned on the mountain, a wooden chair running in the park",1
a green tree climbing the mountain in the forest,a emerald tree climbing the mountain in the forest,1
a brown dog sleeping on the couch in the city,a brown dog sleeping upon the couch in the city,1
a yellow flower running in the park on the mountain in the fog,a wooden chair playing music in the city,0
a wooden chair reading a book in the garden,a wooden chair flying in the sky near the river in the rain,0
a green tree running in the park under a tree under clear sky,a jade tree sprinting in the park under a tree underneath clear sky,1
a wooden chair playing music on the beach,a silver laptop cooking dinner under a tree,0
a white house swimming in the lake in the garden in the snow,a red bicycle playing music at the park,0
a white house dancing happily beside the road under clear sky,a silver laptop playing music by the lake,0
a brown dog dancing happily by the lake,a yellow flower flying in the sky in the city in the fog,0
a glass window flying in the sky near the river in the fog,a glass window flying in the sky next to the river in the fog,1
a white house flying in the sky in the forest during sunset,a white residence flying in the sky in the forest during sunset,1
a wooden chair playing music under a tree,a green tree walking slowly in the garden during twilight,0
a white house playing music beside the road in moonlight,a brown dog sleeping on the couch beside the road,0
a wooden chair cooking dinner on the beach,a black cat reading a book on the mountain in the snow,0
a black cat dancing happily on the mountain,a yellow flower cooking dinner by the lake during sunset,0
a yellow flower cooking dinner near the river during storm,a brown dog cooking dinner near the river,0
a yellow flower walking slowly by the lake,a blue car walking slowly at the park,0
a green tree climbing the mountain in the forest,a jade tree climbing the mountain in the forest,1
a green tree playing music by the lake in the rain,a green tree playing music by the lake in the rain,1
a blue car sleeping on the couch by the lake during sunset,a white house dancing happily near the river,0
a green tree dancing happily beside the road,a silver laptop climbing the mountain on the beach,0
a red bicycle playing music in the garden,a crimson bicycle playing music in the garden,1
a white house climbing the mountain on the mountain in moonlight,a white house dancing happily on the mountain during storm,0
a yellow flower playing music in the city,a yellow flower dancing happily by the lake,0
a silver laptop cooking dinner near the river,a silver laptop cooking dinner beside the river,1
a silver laptop dancing happily in the forest,a red bicycle playing music near the river during storm,0
a blue car flying in the sky in the forest on a sunny day,a red bicycle playing music near the river,0
a brown dog reading a book beside the road,a red bicycle reading a book in the forest,0
a blue car sleeping on the couch beside the road,a blue auto sleeping atop the couch beside the road,1
a glass window running in the park in the garden in the rain,a glass window racing in the park in the garden in the rain,1
a black cat dancing happily in the garden during storm,a black kitty dancing happily in the garden during storm,1
a wooden chair flying in the sky in the garden on a sunny day,a glass window flying in the sky in the city,0
a glass window reading a book in the garden,a glass window reading a book at the park,0
a glass window cooking dinner beside the road,a glass window cooking dinner beside the road,1
a silver laptop walking slowly by the lake,a black cat dancing happily on the beach,0
a black cat walking slowly on the mountain,a white house walking slowly on the mountain during sunset,0
a glass window cooking dinner in the city,a wooden chair dancing happily on the beach in the snow,0
a brown dog sleeping on the couch on the beach,a brown dog sleeping atop the couch on the beach,1
a silver laptop reading a book under a tree,"beneath a tree, a silver laptop reading a book",1
a green tree cooking dinner at the park,a white house climbing the mountain at the park,0
a white house climbing the mountain under a tree,"beneath a tree, a white house climbing the mountain",1
a brown dog cooking dinner under a tree,a brown pup cooking dinner under a tree,1
a red bicycle sleeping on the couch in the forest,a red bike sleeping over the couch in the forest,1
a wooden chair playing music in the garden,a green tree playing music in the garden in moonlight,0
a yellow flower flying in the sky under a tree,a yellow flower flying in the sky under a tree,1
a yellow flower walking slowly on the mountain,a red bicycle playing music on the beach at dawn,0
a white house climbing the mountain beside the road,a white house climbing the mountain beside the road,1
a silver laptop flying in the sky near the river,a white house reading a book in the forest on a sunny day,0
a silver laptop dancing happily at the park,a silver laptop dancing happily at the park,1
a glass window playing music in the garden during storm,a glass window playing music in the garden during storm,1
a blue car cooking dinner on the mountain,a navy automobile cooking dinner atop the mountain,1
a red bicycle reading a book in the garden during twilight,a red cycle reading a book in the garden during twilight,1
a wooden chair running in the park on the beach,"positioned on the beach, a wooden chair running in the park",1
a wooden chair dancing happily in the garden in the fog,a glass window dancing happily under a tree in the snow,0
a red bicycle playing music under a tree under clear sky,a red cycle playing music underneath a tree under clear sky,1
a yellow flower running in the park on the mountain,a brown dog walking slowly by the lake,0
a brown dog dancing happily by the lake,a brown dog swimming in the lake in the garden during sunset,0
a brown dog climbing the mountain in the city,a brown pup climbing the mountain in the city,1
a brown dog sleeping on the couch under a tree,a brown dog sleeping on the couch under a tree,1
a black cat swimming in the lake beside the road,a black cat swimming in the lake beside the road,1
a blue car cooking dinner on the beach,a blue automobile cooking dinner on the beach,1
a green tree walking slowly under a tree,a red bicycle playing music in the forest,0
a silver laptop sleeping on the couch in the city on a sunny day,a white house playing music at the park,0
a wooden chair swimming in the lake under a tree,a wooden chair swimming in the lake beneath a tree,1
a blue car walking slowly on the beach,a wooden chair dancing happily beside the road,0
a brown dog swimming in the lake under a tree during storm,a wooden chair cooking dinner on the mountain,0
a glass window climbing the mountain by the lake on a sunny day,a yellow flower running in the park in the city,0
a brown dog sleeping on the couch in the city,"positioned on the couch in the city, a brown dog sleeping",1
a red bicycle climbing the mountain in the garden on a sunny day,a white house running in the park by the lake in moonlight,0
a green tree running in the park under a tree in the snow,a yellow flower dancing happily in the forest,0
a blue car climbing the mountain at the park,a blue car climbing the mountain at the park,1
a wooden chair walking slowly in the city under clear sky,a wooden chair ambling slowly in the city below clear sky,1
a blue car reading a book by the lake,a cerulean auto reading a book by the lake,1
a wooden chair reading a book under a tree,"beneath a tree, a wooden chair reading a book",1
a yellow flower sleeping on the couch at the park,a brown dog dancing happily under a tree,0
a wooden chair running in the park in the city during twilight,a wooden chair running in the park in the city during twilight,1
a black cat running in the park on the mountain,a red bicycle playing music beside the road under clear sky,0
a green tree sleeping on the couch on the mountain,a green tree sleeping upon the couch on the mountain,1
a silver laptop swimming in the lake at the park,a red bicycle flying in the sky in the garden,0
a brown dog flying in the sky in the garden during twilight,a silver laptop running in the park in the forest,0
a brown dog climbing the mountain in the garden,a green tree flying in the sky in the city,0
a red bicycle cooking dinner beside the road on a sunny day,a glass window playing music in the garden during storm,0
a silver laptop reading a book in the garden,a silver laptop reading a book in the garden,1
a silver laptop playing music near the river,a red bicycle flying in the sky beside the road,0
a yellow flower sleeping on the couch in the forest,a blue car dancing happily in the forest,0
a glass window reading a book on the beach,a green tree walking slowly in the forest,0
a glass window walking slowly on the beach,a glass window pacing slowly upon the beach,1
a glass window walking slowly at the park under clear sky,a black cat playing music at the park on a sunny day,0
a red bicycle sleeping on the couch in the garden,a glass window running in the park near the river in moonlight,0
a glass window flying in the sky on the mountain,a glass window climbing the mountain at the park in the rain,0
a black cat sleeping on the couch on the beach,a glass window running in the park beside the road,0
a silver laptop cooking dinner in the city during storm,a silver laptop flying in the sky in the city,0
a yellow flower walking slowly at the park on a sunny day,a silver laptop reading a book under a tree on a sunny day,0
a glass window playing music in the garden under clear sky,a glass window running in the park on the mountain,0
a yellow flower walking slowly in the city,a yellow flower climbing the mountain near the river,0
a wooden chair flying in the sky beside the road,a wooden chair flying in the sky beside the road,1
a wooden chair playing music in the city in the rain,a glass window climbing the mountain by the lake during storm,0
a silver laptop sleeping on the couch beside the road,a silver laptop sleeping upon the couch beside the road,1
a brown dog reading a book in the garden,a black cat climbing the mountain under a tree,0
a white house walking slowly near the river in the snow,a glass window walking slowly in the garden in the rain,0
a wooden chair walking slowly at the park,a green tree playing music in the city,0
a silver laptop swimming in the lake beside the road,a yellow flower running in the park near the river,0
a red bicycle playing music near the river,a brown dog running in the park in the garden in the snow,0
a blue car climbing the mountain on the beach during storm,a red bicycle dancing happily under a tree,0
a white house swimming in the lake beside the road at dawn,a white residence swimming in the lake beside the road at dawn,1
a glass window playing music on the beach in the snow,"positioned on the beach in the snow, a glass window playing music",1
a glass window reading a book on the beach,a wooden chair climbing the mountain in the forest,0
a red bicycle walking slowly in the city,a scarlet two-wheeler ambling slowly in the city,1
a wooden chair sleeping on the couch under a tree,a wooden chair running in the park in the forest,0
a blue car swimming in the lake by the lake during sunset,a blue car swimming in the lake by the lake during sunset,1
a silver laptop dancing happily beside the road,a glass window running in the park under a tree,0
a wooden chair walking slowly on the mountain under clear sky,a silver laptop walking slowly under a tree,0
a yellow flower walking slowly on the mountain,a green tree swimming in the lake in the garden,0
a silver laptop playing music under a tree,a silver laptop dancing happily in the city on a sunny day,0
a black cat flying in the sky on the beach,a black cat climbing the mountain in the city,0
a brown dog flying in the sky near the river in the rain,a glass window dancing happily near the river in the fog,0
a yellow flower reading a book on the mountain,a green tree flying in the sky near the river,0
a black cat cooking dinner in the city,a red bicycle running in the park beside the road in moonlight,0
a green tree cooking dinner in the forest,a black cat dancing happily near the river,0
a blue car running in the park on the beach during storm,a red bicycle playing music beside the road,0
a silver laptop climbing the mountain at the park,a red bicycle dancing happily in the garden in the rain,0
a green tree sleeping on the couch near the river,a forest green tree sleeping on the couch next to the river,1
a white house climbing the mountain in the forest,a white dwelling climbing the mountain in the forest,1
a blue car reading a book in the garden,a green tree playing music on the beach during storm,0
a white house dancing happily in the city,a black cat swimming in the lake at the park during twilight,0
a green tree running in the park in the garden,a olive tree sprinting in the park in the garden,1
a wooden chair flying in the sky in the forest,a black cat climbing the mountain near the river,0
a red bicycle swimming in the lake by the lake in moonlight,"positioned onlight, a red bicycle swimming in the lake by the lake in mo",1
a glass window reading a book near the river,a glass window reading a book beside the river,1
a white house sleeping on the couch on the beach,a brown dog walking slowly in the city on a sunny day,0
a black cat playing music near the river,a brown dog dancing happily on the beach,0
a black cat cooking dinner beside the road,a silver laptop reading a book at the park,0
a green tree dancing happily in the forest under clear sky,"beneath clear sky, a green tree dancing happily in the forest",1
a glass window playing music beside the road,a glass window playing music beside the road,1
a silver laptop cooking dinner in the forest during sunset,a silver laptop cooking dinner in the forest during sunset,1
a yellow flower reading a book under a tree,a red bicycle walking slowly at the park,0
a glass window cooking dinner on the mountain,a glass window flying in the sky on the mountain during sunset,0
a wooden chair sleeping on the couch under a tree,a wooden chair sleeping atop the couch below a tree,1
a red bicycle climbing the mountain in the forest,a wooden chair sleeping on the couch by the lake on a sunny day,0
a white house flying in the sky in the garden,a yellow flower running in the park in the city,0
a red bicycle flying in the sky at the park,a crimson bike flying in the sky at the park,1
a yellow flower walking slowly near the river during sunset,a yellow flower ambling slowly close to the river during sunset,1
a green tree climbing the mountain near the river in the snow,a glass window climbing the mountain in the forest,0
a wooden chair sleeping on the couch in the garden in the fog,a green tree walking slowly in the city at dawn,0
a silver laptop sleeping on the couch under a tree,"beneath a tree, a silver laptop sleeping on the couch",1
a glass window dancing happily in the forest,a glass window dancing happily in the forest,1
a silver laptop cooking dinner in the forest,a silver laptop cooking dinner in the forest,1
a yellow flower flying in the sky in the forest during twilight,a yellow flower flying in the sky in the forest during twilight,1
a glass window playing music at the park,a red bicycle swimming in the lake on the beach,0
a black cat swimming in the lake on the beach in the fog,"positioned on the beach in the fog, a black cat swimming in the lake",1
a silver laptop reading a book near the river,a silver laptop reading a book near the river,1
a black cat reading a book in the garden,a silver laptop running in the park beside the road,0
a brown dog reading a book in the garden during sunset,a brown dog reading a book in the garden during sunset,1
a glass window playing music by the lake,a glass window swimming in the lake on the mountain,0
a blue car climbing the mountain in the city,a white house reading a book in the city,0
a white house swimming in the lake at the park,a wooden chair reading a book in the garden in the rain,0
a red bicycle dancing happily in the forest in moonlight,a red two-wheeler dancing happily in the forest in moonlight,1
a brown dog dancing happily in the forest,a brown dog dancing happily in the forest,1
a brown dog cooking dinner by the lake,a brown hound cooking dinner by the lake,1
a wooden chair sleeping on the couch at the park,"positioned on the couch at the park, a wooden chair sleeping",1
a yellow flower dancing happily under a tree,a brown dog dancing happily at the park in moonlight,0
a silver laptop dancing happily beside the road,a silver laptop dancing happily beside the road,1
a green tree walking slowly at the park,a brown dog reading a book at the park,0
a red bicycle climbing the mountain at the park at dawn,a wooden chair playing music at the park,0
a silver laptop playing music in the city in the fog,a blue car flying in the sky at the park,0
a blue car dancing happily in the forest,a silver laptop running in the park near the river in the rain,0
a black cat swimming in the lake near the river,a silver laptop reading a book at the park in moonlight,0
a black cat dancing happily by the lake,a black cat dancing happily by the lake,1
a black cat dancing happily under a tree during storm,a black cat dancing happily beneath a tree during storm,1
a green tree climbing the mountain at the park in the rain,a olive tree climbing the mountain at the park in the rain,1
a glass window climbing the mountain on the mountain,a glass window climbing the mountain on the mountain,1
a black cat playing music in the city,a black cat playing music in the city,1
a green tree running in the park under a tree,a jade tree running in the park below a tree,1
a white house sleeping on the couch on the mountain,a green tree sleeping on the couch at the park during twilight,0
a blue car swimming in the lake in the garden in moonlight,a glass window swimming in the lake in the forest,0
a white house climbing the mountain at the park,a white residence climbing the mountain at the park,1
a green tree cooking dinner by the lake,a green tree cooking dinner by the lake,1
a silver laptop swimming in the lake in the garden during twilight,a silver laptop climbing the mountain on the beach,0
a white house flying in the sky on the mountain,a white house flying in the sky atop the mountain,1
a glass window swimming in the lake on the beach,a glass window swimming in the lake upon the beach,1
a silver laptop reading a book by the lake in the rain,a silver laptop reading a book by the lake in the rain,1
a blue car walking slowly near the river,a glass window playing music in the city,0
a brown dog sleeping on the couch in the garden under clear sky,a wooden chair climbing the mountain under a tree,0
a brown dog reading a book under a tree in moonlight,a brown hound reading a book beneath a tree in moonlight,1
a red bicycle reading a book near the river,a glass window dancing happily near the river under clear sky,0
a green tree cooking dinner at the park,a glass window climbing the mountain beside the road,0
a silver laptop walking slowly by the lake,a silver laptop pacing slowly by the lake,1
a red bicycle reading a book by the lake,a green tree walking slowly under a tree,0
a yellow flower running in the park in the city,a yellow flower jogging in the park in the city,1
a white house playing music beside the road at dawn,a wooden chair cooking dinner on the mountain,0
a yellow flower sleeping on the couch in the forest,a yellow flower sleeping atop the couch in the forest,1
a white house sleeping on the couch at the park,a silver laptop sleeping on the couch in the forest,0
a black cat climbing the mountain beside the road,a glass window playing music in the garden,0
a white house playing music on the beach during sunset,a white home playing music atop the beach during sunset,1
a dog running in the park,un chien qui court dans le parc,1
a glass window sleeping on the couch in the city,a black cat swimming in the lake on the beach,0
a brown dog reading a book under a tree,a black cat reading a book under a tree,0
a glass window swimming in the lake beside the road,a glass window swimming in the lake beside the road,1
a glass window reading a book under a tree on a sunny day,"beneath a tree on a sunny day, a glass window reading a book",1
a black cat running in the park near the river,a black feline running in the park beside the river,1
a silver laptop sleeping on the couch in the city,a black cat playing music in the forest,0
a red bicycle walking slowly on the beach,a red bicycle sleeping on the couch under a tree in the fog,0
a white house running in the park at the park,a brown dog reading a book beside the road in moonlight,0
a silver laptop sleeping on the couch by the lake,"positioned on the couch by the lake, a silver laptop sleeping",1
a wooden chair flying in the sky on the beach,a black cat swimming in the lake in the city,0
a red bicycle flying in the sky at the park,a glass window swimming in the lake on the beach,0
a glass window swimming in the lake on the mountain,a glass window cooking dinner under a tree during storm,0
a black cat reading a book under a tree,a glass window sleeping on the couch in the forest,0
a brown dog swimming in the lake on the mountain during storm,"positioned on the mountain during storm, a brown dog swimming in the lake",1
a glass window sleeping on the couch by the lake,a red bicycle dancing happily near the river in the fog,0
a glass window playing music by the lake in moonlight,a white house walking slowly in the forest,0
a wooden chair walking slowly in the garden during sunset,a wooden chair walking slowly in the garden during sunset,1
a silver laptop sleeping on the couch on the beach,a white house walking slowly under a tree,0
a red bicycle playing music in the garden,a crimson bike playing music in the garden,1
a glass window dancing happily in the city,a glass window dancing happily in the city,1
a glass window climbing the mountain by the lake,a blue car flying in the sky at the park in moonlight,0
a silver laptop flying in the sky near the river during storm,a silver laptop flying in the sky beside the river during storm,1
a green tree running in the park in the garden,a wooden chair flying in the sky by the lake,0
a wooden chair sleeping on the couch beside the road,"positioned on the couch beside the road, a wooden chair sleeping",1
a black cat swimming in the lake at the park,a wooden chair flying in the sky in the garden in the fog,0
a black cat swimming in the lake in the city during twilight,a white house reading a book in the city,0
a red bicycle flying in the sky in the garden,a crimson bicycle flying in the sky in the garden,1
a cat sleeping on the couch,eine Katze schläft auf dem Sofa,1
a green tree climbing the mountain beside the road,a black cat walking slowly under a tree on a sunny day,0
a brown dog dancing happily under a tree,"beneath a tree, a brown dog dancing happily",1
a red bicycle swimming in the lake on the beach,a brown dog dancing happily on the mountain,0
a green tree walking slowly in the garden,a red bicycle climbing the mountain in the city,0
a green tree reading a book near the river,a silver laptop swimming in the lake in the city during twilight,0
a silver laptop walking slowly in the forest,a silver laptop ambling slowly in the forest,1
a glass window reading a book at the park in the rain,a wooden chair dancing happily near the river,0
a red bicycle climbing the mountain near the river,a wooden chair sleeping on the couch in the forest,0
a brown dog flying in the sky at the park,a yellow flower cooking dinner under a tree under clear sky,0
a silver laptop flying in the sky near the river,a silver laptop flying in the sky near the river,1
a yellow flower swimming in the lake on the mountain on a sunny day,a white house sleeping on the couch by the lake,0
a white house walking slowly by the lake,a white residence pacing slowly by the lake,1
a glass window flying in the sky on the beach at dawn,a yellow flower flying in the sky in the garden,0
a red bicycle dancing happily on the mountain,"positioned on the mountain, a red bicycle dancing happily",1
a brown dog walking slowly on the mountain under clear sky,"beneath clear sky, a brown dog walking slowly on the mountain",1
a yellow flower dancing happily in the garden,a yellow flower dancing happily in the garden,1
a silver laptop cooking dinner at the park,a glass window running in the park in the city,0
a glass window flying in the sky by the lake,a glass window flying in the sky by the lake,1
a yellow flower playing music by the lake,a yellow flower playing music by the lake,1
a glass window walking slowly in the city,a brown dog sleeping on the couch under a tree,0
a red bicycle walking slowly at the park,a green tree sleeping on the couch at the park,0
a blue car running in the park at the park in the snow,a brown dog dancing happily near the river,0
a wooden chair reading a book in the garden in moonlight,a red bicycle sleeping on the couch in the garden,0
a silver laptop dancing happily near the river,a red bicycle reading a book in the garden,0
a glass window sleeping on the couch in the garden in moonlight,a green tree playing music in the garden,0
a brown dog swimming in the lake in the city on a sunny day,a brown pooch swimming in the lake in the city upon a sunny day,1
a brown dog flying in the sky by the lake,a brown canine flying in the sky by the lake,1
a brown dog sleeping on the couch on the mountain,a blue car reading a book under a tree,0
a blue car playing music under a tree,"beneath a tree, a blue car playing music",1
a black cat climbing the mountain in the city,a wooden chair cooking dinner under a tree,0
a green tree climbing the mountain near the river,a wooden chair flying in the sky by the lake,0
a red bicycle climbing the mountain at the park,a white house cooking dinner under a tree,0
a brown dog running in the park under a tree,a green tree walking slowly in the forest at dawn,0
a yellow flower swimming in the lake by the lake,a yellow flower swimming in the lake by the lake,1
a red bicycle sleeping on the couch on the mountain,a cherry cycle sleeping atop the couch over the mountain,1
a black cat running in the park on the mountain under clear sky,a black cat walking slowly in the forest,0
a red bicycle flying in the sky beside the road at dawn,a yellow flower walking slowly in the forest,0
a silver laptop reading a book in the city,a wooden chair running in the park near the river during sunset,0
a black cat playing music in the forest,a white house walking slowly on the mountain,0
a glass window flying in the sky beside the road during storm,a glass window flying in the sky beside the road during storm,1
a blue car reading a book in the city,a azure vehicle reading a book in the city,1
a brown dog running in the park at the park,a yellow flower flying in the sky on the beach,0
a white house sleeping on the couch by the lake,a black cat dancing happily beside the road,0
a white house walking slowly in the forest in the snow,a wooden chair cooking dinner in the city in the rain,0
a red bicycle flying in the sky on the beach,a green tree sleeping on the couch beside the road in the rain,0
a blue car running in the park near the river,a yellow flower climbing the mountain beside the road,0
a blue car sleeping on the couch beside the road,a brown dog playing music at the park,0
a white house reading a book on the mountain,a white residence reading a book upon the mountain,1
a red bicycle swimming in the lake under a tree during twilight,a silver laptop playing music beside the road,0
a black cat reading a book on the beach,a wooden chair cooking dinner by the lake,0
a yellow flower sleeping on the couch on the mountain,a glass window dancing happily at the park,0
a wooden chair dancing happily by the lake during sunset,a wooden chair playing music by the lake,0
a black cat climbing the mountain in the forest,a brown dog swimming in the lake beside the road,0
a glass window cooking dinner at the park,a black cat swimming in the lake under a tree at dawn,0
a glass window walking slowly by the lake,a glass window walking slowly by the lake,1
a blue car playing music beside the road,a red bicycle playing music on the mountain,0
a black cat playing music on the beach during sunset,a red bicycle flying in the sky in the garden,0
a blue car walking slowly in the city in moonlight,a brown dog reading a book near the river on a sunny day,0
a white house swimming in the lake beside the road at dawn,a white home swimming in the lake beside the road at dawn,1
a red bicycle sleeping on the couch in the forest,"positioned on the couch in the forest, a red bicycle sleeping",1
a red bicycle playing music beside the road,a glass window cooking dinner beside the road,0
a silver laptop cooking dinner near the river,a brown dog playing music in the city,0
a black cat walking slowly in the garden,a silver laptop sleeping on the couch near the river,0
a red bicycle dancing happily in the city,a ruby cycle dancing happily in the city,1
a red bicycle sleeping on the couch on the beach,a green tree playing music on the beach during twilight,0
a red bicycle sleeping on the couch near the river,a glass window swimming in the lake in the city on a sunny day,0
a blue car flying in the sky on the beach in the snow,"positioned on the beach in the snow, a blue car flying in the sky",1
a blue car sleeping on the couch in the garden,a yellow flower running in the park at the park,0
a white house climbing the mountain in the forest,a white residence climbing the mountain in the forest,1
a red bicycle cooking dinner under a tree in moonlight,a red bicycle climbing the mountain near the river,0
a wooden chair sleeping on the couch on the beach,a silver laptop running in the park under a tree,0
a black cat sleeping on the couch on the mountain under clear sky,"beneath clear sky, a black cat sleeping on the couch on the mountain",1
a silver laptop cooking dinner in the forest,a blue car swimming in the lake in the forest,0
a white house playing music in the city under clear sky,a wooden chair reading a book beside the road during twilight,0
a red bicycle walking slowly beside the road,a green tree dancing happily in the forest,0
a brown dog sleeping on the couch at the park during twilight,a brown dog walking slowly in the garden,0
a black cat swimming in the lake beside the road at dawn,a glass window reading a book in the city,0
a green tree swimming in the lake at the park,a green tree swimming in the lake at the park,1
a black cat dancing happily beside the road,a wooden chair running in the park by the lake,0
a wooden chair reading a book at the park,a wooden chair reading a book at the park,1
a wooden chair reading a book in the city,a black cat swimming in the lake beside the road in the rain,0
a green tree walking slowly under a tree in moonlight,a white house walking slowly beside the road,0
a silver laptop playing music in the forest in the snow,a green tree dancing happily in the forest in the rain,0
a silver laptop dancing happily at the park,a silver laptop dancing happily at the park,1
a silver laptop swimming in the lake in the city,a silver laptop walking slowly on the beach,0
a wooden chair playing music by the lake,a black cat dancing happily in the garden on a sunny day,0
a white house dancing happily under a tree,a wooden chair sleeping on the couch beside the road,0
a wooden chair swimming in the lake under a tree at dawn,a brown dog walking slowly in the city in the rain,0
a white house swimming in the lake near the river,a white house swimming in the lake near the river,1
a black cat cooking dinner by the lake,a wooden chair running in the park in the city,0
a green tree playing music in the forest during twilight,a black cat swimming in the lake on the mountain,0
a brown dog cooking dinner at the park in the fog,a brown dog running in the park beside the road,0
a red bicycle climbing the mountain at the park,a scarlet cycle climbing the mountain at the park,1
a black cat flying in the sky by the lake,a black kitten flying in the sky by the lake,1
a wooden chair running in the park on the mountain during storm,"positioned on the mountain during storm, a wooden chair running in the park",1
a green tree climbing the mountain under a tree,a black cat playing music on the mountain at dawn,0
a green tree reading a book in the forest,a blue car reading a book in the garden,0
a yellow flower running in the park in the forest,a blue car dancing happily by the lake,0
a silver laptop playing music in the city in the snow,a silver laptop playing music in the city in the snow,1
a black cat dancing happily under a tree during storm,"beneath a tree during storm, a black cat dancing happily",1
a silver laptop running in the park on the beach at dawn,a silver laptop racing in the park upon the beach at dawn,1
a wooden chair dancing happily by the lake,a glass window playing music on the beach,0
a blue car playing music beside the road during storm,a blue automobile playing music beside the road during storm,1
a glass window cooking dinner on the beach during twilight,a green tree climbing the mountain on the mountain,0
a black cat sleeping on the couch beside the road,a black feline sleeping on the couch beside the road,1
a green tree dancing happily in the city,a red bicycle climbing the mountain in the forest during storm,0
a black cat running in the park by the lake during storm,a black cat running in the park in the garden,0
a blue car cooking dinner in the forest,a blue car cooking dinner in the forest,1
a silver laptop flying in the sky in the garden during storm,a brown dog sleeping on the couch under a tree,0
a red bicycle playing music in the forest,a wooden chair walking slowly in the city,0
a yellow flower sleeping on the couch in the city,a wooden chair cooking dinner in the garden in the rain,0
a green tree climbing the mountain by the lake,a white house climbing the mountain in the garden under clear sky,0
a yellow flower flying in the sky in the garden in the snow,a wooden chair playing music near the river,0
a glass window dancing happily on the beach,a silver laptop walking slowly under a tree,0
a white house playing music near the river,a glass window sleeping on the couch at the park,0
a brown dog swimming in the lake beside the road,a white house walking slowly beside the road,0
a black cat walking slowly in the garden,a red bicycle climbing the mountain near the river,0
a blue car playing music near the river in moonlight,a blue auto playing music beside the river in moonlight,1
a black cat climbing the mountain on the beach,a black cat climbing the mountain over the beach,1
a brown dog running in the park near the river,a silver laptop playing music by the lake,0
a red bicycle swimming in the lake in the forest,a red bicycle running in the park near the river,0
a yellow flower reading a book at the park,a white house walking slowly in the garden during sunset,0
a brown dog flying in the sky on the mountain on a sunny day,a brown dog cooking dinner on the beach during twilight,0
a glass window cooking dinner beside the road,a glass window cooking dinner beside the road,1
a black cat dancing happily in the city under clear sky,a brown dog dancing happily under a tree on a sunny day,0
a brown dog running in the park by the lake,a white house flying in the sky near the river,0
a silver laptop flying in the sky in the forest,a silver laptop flying in the sky in the forest,1
